productid,productname,category,unitprice,quantityonhand,channelavailability
2000,Electronics-Be,Electronics,969.31,80,Drive-Up Only
2001,Electronics-Be,Clothing,412.35,375,"In-Store, Online"
2002,Office-Family,Clothing,866.0,705,"In-Store, Online"
2003,Electronics-Training,Clothing,385.18,971,
2004,Office-Where,Home,927.25,906,Drive-Up Only
2005,Office-Huge,Home,428.78,209,Online Only
2006,Office-Class,Clothing,198.0,686,"Online, Drive-Up"
2007,Clothing-Over,Electronics,583.39,444,
2008,Electronics-Skin,Home,66.59,688,"In-Store, Online"
2009,Office-Raise,Clothing,66.31,242,Drive-Up Only
2010,Electronics-Themselves,Clothing,77.84,400,"In-Store, Online"
2011,Electronics-Religious,Clothing,409.74,484,"In-Store, Online, Drive-up"
2012,Clothing-Artist,Electronics,623.19,722,"In-Store, Online, Drive-up"
2013,Office-Cultural,Home,935.36,22,Online Only
2014,Clothing-Eat,Home,246.3,441,Drive-Up Only
2015,Office-Itself,Clothing,674.97,653,
2016,Home-He,Office,323.02,628,"In-Store, Drive-Up"
2017,Electronics-Feeling,Electronics,463.7,90,Drive-Up Only
2018,Electronics-Nature,Electronics,542.26,482,"Online, Drive-Up"
2019,Home-History,Clothing,933.93,235,"In-Store, Drive-Up"
2020,Electronics-Share,Clothing,375.83,635,"Online, Drive-Up"
2021,Clothing-Skill,Office,835.41,468,In-Store Only
2022,Home-Economy,Electronics,671.18,707,"In-Store, Online"
2023,Home-Yeah,Electronics,939.54,50,"In-Store, Online"
2024,Clothing-Paper,Home,124.27,182,Online Only
2025,Electronics-Assume,Clothing,279.62,608,Online Only
2026,Clothing-Use,Home,211.56,788,"In-Store, Drive-Up"
2027,Home-Purpose,Office,258.61,332,"In-Store, Online"
2028,Electronics-Take,Electronics,637.94,192,"In-Store, Online"
2029,Home-Yourself,Electronics,13.51,726,
2030,Clothing-First,Home,169.97,486,Drive-Up Only
2031,Office-Develop,Office,565.3,225,"In-Store, Online, Drive-up"
2032,Electronics-There,Electronics,945.6,5,"Online, Drive-Up"
2033,Clothing-Argue,Electronics,836.25,175,"Online, Drive-Up"
2034,Clothing-Feel,Office,136.17,149,"In-Store, Online, Drive-up"
2035,Home-According,Home,899.99,0,"In-Store, Drive-Up"
2036,Electronics-Candidate,Home,217.98,142,
2037,Clothing-Meeting,Electronics,360.14,363,"Online, Drive-Up"
2038,Office-Soon,Clothing,926.51,68,Online Only
2039,Clothing-Need,Clothing,976.44,276,"In-Store, Online, Drive-up"
2040,Clothing-Determine,Office,34.54,412,Drive-Up Only
2041,Home-Assume,Office,804.21,335,"In-Store, Drive-Up"
2042,Clothing-Lawyer,Home,167.61,222,"In-Store, Online"
2043,Electronics-Practice,Office,873.45,756,Online Only
2044,Office-Society,Clothing,207.58,108,Drive-Up Only
2045,Office-Next,Home,312.14,377,"In-Store, Drive-Up"
2046,Clothing-Worry,Clothing,33.43,820,In-Store Only
2047,Clothing-Hair,Office,334.98,689,"In-Store, Drive-Up"
2048,Electronics-Candidate,Home,357.63,664,"In-Store, Online"
